CaseID,Activity,Timestamp,Axis_X,Axis_Y,Quadrant,Activity_Q,ActXPosition,Distance_명령값,Velocity,Accel,O2_ratio
5,Melting Layer(Poly),2023-10-14 09:29:20.709,-1.94439697265625,-3.37930297851563,3.0,Melting Layer(Poly)_3,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,3.29054260253906,0.789230346679688,1.0,Melting Layer(Poly)_1,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,0.74468994140625,2.48625183105469,1.0,Melting Layer(Poly)_1,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,3.43441772460938,-0.273330688476563,4.0,Melting Layer(Poly)_4,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,-0.599533081054688,-2.60289001464844,3.0,Melting Layer(Poly)_3,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,-2.98965454101563,-3.98268127441406,3.0,Melting Layer(Poly)_3,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,-0.599853515625,3.26266479492188,2.0,Melting Layer(Poly)_2,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,3.43441772460938,0.93310546875,1.0,Melting Layer(Poly)_1,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.709,0.74468994140625,-1.82647705078125,4.0,Melting Layer(Poly)_4,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.710,3.29054260253906,-0.12945556640625,4.0,Melting Layer(Poly)_4,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.710,-1.94471740722656,4.03907775878906,2.0,Melting Layer(Poly)_2,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.710,2.08955383300781,-1.04974365234375,4.0,Melting Layer(Poly)_4,,,,,
5,Melting Layer(Poly),2023-10-14 09:29:20.710,4.47999572753906,0.329727172851563,1.0,Melting Layer(Poly)_1,,,,,
5,Laser Layer 완료,2023-10-14 09:29:20.920,,,,,,,,,
6,Bulid,2023-10-14 09:29:21.105,,,,,0,90,800,3000,
6,Blade_1,2023-10-14 09:29:28.254,,,,,0,0,1000,4000,
6,Left,2023-10-14 09:29:29.124,,,,,0,100,800,3000,
6,Blade_2,2023-10-14 09:29:36.276,,,,,90,6400,1000,4000,
6,Melting Layer,2023-10-14 09:29:36.776,,,,,,,,,0.03
6,Melting Layer(Poly),2023-10-14 09:29:36.835,-2.98965454101563,4.64277648925781,2.0,Melting Layer(Poly)_2,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,2.08955383300781,1.7098388671875,1.0,Melting Layer(Poly)_1,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,-1.94439697265625,-3.37930297851563,3.0,Melting Layer(Poly)_3,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,3.29054260253906,0.789230346679688,1.0,Melting Layer(Poly)_1,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,0.74468994140625,2.48625183105469,1.0,Melting Layer(Poly)_1,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,3.43441772460938,-0.273330688476563,4.0,Melting Layer(Poly)_4,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,-0.599533081054688,-2.60289001464844,3.0,Melting Layer(Poly)_3,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,-2.98965454101563,-3.98268127441406,3.0,Melting Layer(Poly)_3,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,-0.599853515625,3.26266479492188,2.0,Melting Layer(Poly)_2,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.835,3.43441772460938,0.93310546875,1.0,Melting Layer(Poly)_1,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.836,0.74468994140625,-1.82647705078125,4.0,Melting Layer(Poly)_4,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.836,3.29054260253906,-0.12945556640625,4.0,Melting Layer(Poly)_4,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.836,-1.94471740722656,4.03907775878906,2.0,Melting Layer(Poly)_2,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.836,2.08955383300781,-1.04974365234375,4.0,Melting Layer(Poly)_4,,,,,
6,Melting Layer(Poly),2023-10-14 09:29:36.836,4.47999572753906,0.329727172851563,1.0,Melting Layer(Poly)_1,,,,,
6,Laser Layer 완료,2023-10-14 09:29:37.049,,,,,,,,,
7,Bulid,2023-10-14 09:29:37.238,,,,,0,120,800,3000,
7,Blade_1,2023-10-14 09:29:44.386,,,,,0,0,1000,4000,
7,Left,2023-10-14 09:29:45.256,,,,,0,100,800,3000,
7,Blade_2,2023-10-14 09:29:52.405,,,,,120,6400,1000,4000,
7,Melting Layer,2023-10-14 09:29:52.905,,,,,,,,,0.07
7,Melting Layer(Poly),2023-10-14 09:29:52.961,-2.98965454101563,4.64277648925781,2.0,Melting Layer(Poly)_2,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,2.08955383300781,1.7098388671875,1.0,Melting Layer(Poly)_1,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,-1.94439697265625,-3.37930297851563,3.0,Melting Layer(Poly)_3,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,3.29054260253906,0.789230346679688,1.0,Melting Layer(Poly)_1,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,0.74468994140625,2.48625183105469,1.0,Melting Layer(Poly)_1,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,3.43441772460938,-0.273330688476563,4.0,Melting Layer(Poly)_4,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,-0.599533081054688,-2.60289001464844,3.0,Melting Layer(Poly)_3,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,-2.98965454101563,-3.98268127441406,3.0,Melting Layer(Poly)_3,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,-0.599853515625,3.26266479492188,2.0,Melting Layer(Poly)_2,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.961,3.43441772460938,0.93310546875,1.0,Melting Layer(Poly)_1,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.962,0.74468994140625,-1.82647705078125,4.0,Melting Layer(Poly)_4,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.962,3.29054260253906,-0.12945556640625,4.0,Melting Layer(Poly)_4,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.962,-1.94471740722656,4.03907775878906,2.0,Melting Layer(Poly)_2,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.962,2.08955383300781,-1.04974365234375,4.0,Melting Layer(Poly)_4,,,,,
7,Melting Layer(Poly),2023-10-14 09:29:52.962,4.47999572753906,0.329727172851563,1.0,Melting Layer(Poly)_1,,,,,
7,Laser Layer 완료,2023-10-14 09:29:53.174,,,,,,,,,
8,Bulid,2023-10-14 09:29:53.358,,,,,0,150,800,3000,
8,Blade_1,2023-10-14 09:30:00.506,,,,,0,0,1000,4000,
8,Left,2023-10-14 09:30:01.376,,,,,0,100,800,3000,
8,Blade_2,2023-10-14 09:30:08.524,,,,,150,6400,1000,4000,
8,Melting Layer,2023-10-14 09:30:09.024,,,,,,,,,0.03
8,Melting Layer(Poly),2023-10-14 09:30:09.086,-2.98965454101563,4.64277648925781,2.0,Melting Layer(Poly)_2,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.086,2.08955383300781,1.7098388671875,1.0,Melting Layer(Poly)_1,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.086,-1.94439697265625,-3.37930297851563,3.0,Melting Layer(Poly)_3,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.086,3.29054260253906,0.789230346679688,1.0,Melting Layer(Poly)_1,,,,,
8,Melting Layer(Poly),2023-10-14 09:30:09.087,0.74468994140625,2.48625183105469,1.0,Melting Layer(Poly)_1,,,,,
